Unnamed: 0,address,city,floor,id,latitude,longitude,price,rooms,sq,year
1472,Podgorze Norymberska,Krakow,3.0,29930.0,50.0349778,19.9031173,755000.0,4.0,93.09,2009.0
1473,Wola Muranow Ludwika Zamenhofa,Warszawa,0.0,11769.0,52.2488685,20.9954708,500000.0,2.0,40.0,1958.0
1474,Nowe Miasto Polanka 2,Poznan,3.0,4707.0,52.39975875,16.954659974486166,504416.0,2.0,57.32,2020.0
1475,Zoliborz,Warszawa,2.0,13153.0,52.2675944,20.9796975,1099000.0,3.0,76.0,2015.0
1476,rodmiecie,Warszawa,5.0,9410.0,52.2328098,21.019067,575000.0,2.0,37.0,1967.0
1477,Ursynow Natolin Stryjenskich,Warszawa,6.0,17593.0,52.1362303,21.0495988,450000.0,1.0,35.0,2000.0
1478,Bemowo,Warszawa,3.0,11523.0,52.2389738,20.9132881,429000.0,2.0,49.0,1989.0
1479,Bielany Marymont Ul Sowianska 23,Warszawa,1.0,13374.0,52.27575215,20.966036805175506,1232500.0,3.0,85.0,2022.0
1480,Podgorze Przewoz,Krakow,8.0,28550.0,50.0435196,20.0712999,690000.0,3.0,62.76,2017.0
1481,Stare Miasto Centrum ul Mieczysawa Niedziakowskiego,Poznan,0.0,5319.0,52.3993455,16.9246072,707200.0,4.0,83.2,2021.0
1482,PragaPonoc,Warszawa,9.0,14639.0,52.2648843,21.0273442,435000.0,3.0,39.0,1979.0
